Date,Time,"Nitrogen dioxide",Status
2024-01-16,20:00:00,56.57849,V ugm-3
2024-01-16,21:00:00,46.23806,V ugm-3
2024-01-16,22:00:00,40.25637,V ugm-3
2024-01-16,23:00:00,50.03484,V ugm-3
2024-01-16,24:00:00,28.03466,V ugm-3
2024-01-17,01:00:00,27.05492,V ugm-3
2024-01-17,02:00:00,16.7199,V ugm-3
2024-01-17,03:00:00,19.19968,V ugm-3
2024-01-17,04:00:00,17.7954,V ugm-3
2024-01-17,05:00:00,24.03937,V ugm-3
2024-01-17,06:00:00,29.1348,V ugm-3
2024-01-17,07:00:00,35.78272,V ugm-3
2024-01-17,08:00:00,66.41899,V ugm-3
2024-01-17,09:00:00,80.40335,V ugm-3
2024-01-17,10:00:00,89.9018,V ugm-3
2024-01-17,11:00:00,69.25798,V ugm-3
2024-01-17,12:00:00,56.73555,V ugm-3
2024-01-17,13:00:00,41.6571,V ugm-3
2024-01-17,14:00:00,28.3438,V ugm-3
2024-01-17,15:00:00,35.25874,V ugm-3
2024-01-17,16:00:00,43.30218,V ugm-3
2024-01-17,17:00:00,72.53618,V ugm-3
2024-01-17,18:00:00,76.9057,V ugm-3
2024-01-17,19:00:00,71.20247,V ugm-3
2024-01-17,20:00:00,67.13884,V ugm-3
2024-01-17,21:00:00,73.63478,V ugm-3
2024-01-17,22:00:00,81.79199,V ugm-3
2024-01-17,23:00:00,93.8013,V ugm-3
2024-01-17,24:00:00,70.88465,V ugm-3
2024-01-18,01:00:00,51.20725,V ugm-3
2024-01-18,02:00:00,26.22819,V ugm-3
2024-01-18,03:00:00,49.22596,V ugm-3
2024-01-18,04:00:00,49.38642,V ugm-3
2024-01-18,05:00:00,42.67035,V ugm-3
2024-01-18,06:00:00,58.10677,V ugm-3
2024-01-18,07:00:00,65.0694,V ugm-3
2024-01-18,08:00:00,84.53582,V ugm-3
2024-01-18,09:00:00,99.21895,V ugm-3
2024-01-18,10:00:00,104.12635,V ugm-3
2024-01-18,11:00:00,96.43038,V ugm-3
2024-01-18,12:00:00,72.01896,V ugm-3
2024-01-18,13:00:00,32.25337,V ugm-3
2024-01-18,14:00:00,33.44327,V ugm-3
2024-01-18,15:00:00,39.47845,V ugm-3
2024-01-18,16:00:00,36.05174,V ugm-3
2024-01-18,17:00:00,61.79625,V ugm-3
2024-01-18,18:00:00,71.21962,V ugm-3
2024-01-18,19:00:00,54.72966,V ugm-3
2024-01-18,20:00:00,45.62938,V ugm-3
2024-01-18,21:00:00,58.79034,V ugm-3
2024-01-18,22:00:00,39.39198,V ugm-3
2024-01-18,23:00:00,31.2719,V ugm-3
2024-01-18,24:00:00,64.97654,V ugm-3
2024-01-19,01:00:00,57.81298,V ugm-3
2024-01-19,02:00:00,36.22698,V ugm-3
2024-01-19,03:00:00,5.62209,V ugm-3
2024-01-19,04:00:00,4.16457,V ugm-3
2024-01-19,05:00:00,4.52854,V ugm-3
2024-01-19,06:00:00,4.21633,V ugm-3
2024-01-19,07:00:00,8.63945,V ugm-3
2024-01-19,08:00:00,15.66469,V ugm-3
2024-01-19,09:00:00,18.78772,V ugm-3
2024-01-19,10:00:00,27.53144,V ugm-3
2024-01-19,11:00:00,22.94693,V ugm-3
